longitude,latitude,depth,temperature,salinity
-3.6253,36.1942,30.8,19.2889,36.3394
-3.6253,36.1942,31.8,19.0988,36.3224
-3.6253,36.1942,32.8,18.5335,36.2855
-3.6253,36.1942,33.7,18.2746,36.3033
-3.6253,36.1942,34.7,18.0179,36.2671
-3.6253,36.1942,35.7,18.0649,36.2849
-3.6253,36.1942,36.7,17.935,36.2693
-3.6253,36.1942,37.7,17.8531,36.2776
-3.6253,36.1942,38.7,17.8722,36.2928
-3.6253,36.1942,39.7,17.6606,36.2887
-3.6253,36.1942,40.7,17.6459,36.3211
-3.6253,36.1942,41.7,17.5076,36.3336
-3.6253,36.1942,42.7,17.3235,36.3613
-3.6253,36.1942,43.7,17.338,36.3538
-3.6253,36.1942,44.7,17.259,36.3544
-3.6253,36.1942,45.7,17.1755,36.3698
-3.6253,36.1942,46.7,17.2062,36.3701
-3.6253,36.1942,47.6,17.0932,36.3763
-3.6253,36.1942,48.6,17.0465,36.3831
-3.6253,36.1942,49.6,16.8723,36.3776
-3.6253,36.1942,50.6,16.9604,36.3963
-3.6253,36.1942,51.6,16.7903,36.4075
-3.6253,36.1942,52.6,16.7172,36.3779
-3.6253,36.1942,53.6,16.641,36.405
-3.6253,36.1942,54.6,16.4515,36.4106
-3.6253,36.1942,55.6,16.3647,36.4121
-3.6253,36.1942,56.6,16.3355,36.4337
-3.6253,36.1942,57.6,16.2164,36.4432
-3.6253,36.1942,58.6,16.2421,36.4402
-3.6253,36.1942,59.6,16.271,36.4306
-3.6253,36.1942,60.5,16.2452,36.4438
-3.6253,36.1942,61.5,16.0674,36.4518
-3.6253,36.1942,62.5,16.0731,36.4613
-3.6253,36.1942,63.5,15.9913,36.4633
-3.6253,36.1942,64.5,15.9755,36.4732
-3.6253,36.1942,65.5,15.9012,36.4791
-3.6253,36.1942,66.5,15.8528,36.4884
-3.6253,36.1942,67.5,15.8366,36.502
-3.6253,36.1942,68.5,15.7273,36.5244
-3.6253,36.1942,69.5,15.6411,36.546
-3.6253,36.1942,70.5,15.657,36.5467
-3.6253,36.1942,71.5,15.5945,36.5531
-3.6253,36.1942,72.5,15.6178,36.5517
-3.6253,36.1942,73.4,15.5724,36.5577
-3.6253,36.1942,74.4,15.5745,36.5566
-3.6253,36.1942,75.4,15.4611,36.5778
-3.6253,36.1942,76.4,15.4283,36.5993
-3.6253,36.1942,77.4,15.4573,36.5972
-3.6253,36.1942,78.4,15.3385,36.6385
-3.6253,36.1942,79.4,15.3363,36.6441
-3.6253,36.1942,80.4,15.1783,36.69
-3.6253,36.1942,81.4,15.0312,36.7618
-3.6253,36.1942,82.4,14.9531,36.8007
-3.6253,36.1942,83.4,14.8774,36.843
-3.6253,36.1942,84.4,14.8767,36.8565
-3.6253,36.1942,85.4,14.849,36.8955
-3.6253,36.1942,86.3,14.8414,36.9092
-3.6253,36.1942,87.3,14.8137,36.9342
-3.6253,36.1942,88.3,14.7708,36.9639
-3.6253,36.1942,89.3,14.7711,36.9548
-3.6253,36.1942,90.3,14.7103,36.9661
-3.6253,36.1942,91.3,14.6934,36.9791
-3.6253,36.1942,92.3,14.6611,36.984
-3.6253,36.1942,93.3,14.6444,36.996
-3.6253,36.1942,94.3,14.4372,37.0942
-3.6253,36.1942,95.3,14.5389,37.0581
-3.6253,36.1942,96.3,14.3964,37.1493
-3.6253,36.1942,97.3,14.4,37.1686
-3.6253,36.1942,98.3,14.3256,37.251
-3.6253,36.1942,99.2,14.2267,37.3674
-3.6253,36.1942,100.2,14.245,37.3451
-3.6253,36.1942,101.2,14.2245,37.369
-3.6253,36.1942,102.2,14.2207,37.3667
-3.6253,36.1942,103.2,14.193,37.3841
-3.6253,36.1942,104.2,14.1582,37.4157
-3.6253,36.1942,105.2,14.1208,37.4618
-3.6253,36.1942,106.2,14.0576,37.5426
-3.6253,36.1942,107.2,14.0542,37.5502
-3.6253,36.1942,108.2,14.0248,37.5968
-3.6253,36.1942,109.2,13.9803,37.6571
-3.6253,36.1942,110.2,13.98,37.6519
-3.6253,36.1942,111.1,13.9883,37.6392
-3.6253,36.1942,112.1,13.9438,37.6876
-3.6253,36.1942,113.1,13.906,37.7243
-3.6253,36.1942,114.1,13.8689,37.7721
-3.6253,36.1942,115.1,13.8425,37.8095
-3.6253,36.1942,116.1,13.7883,37.8824
-3.6253,36.1942,117.1,13.7771,37.8871
-3.6253,36.1942,118.1,13.7554,37.9144
-3.6253,36.1942,119.1,13.7633,37.9034
-3.6253,36.1942,120.1,13.7441,37.9271
-3.6253,36.1942,121.1,13.7374,37.9275
-3.6253,36.1942,122.1,13.6301,38.0379
-3.6253,36.1942,123.1,13.6376,38.0304
-3.6253,36.1942,124,13.6137,38.0509
-3.6253,36.1942,125,13.5868,38.0697
-3.6253,36.1942,126,13.5319,38.0996
-3.6253,36.1942,127,13.5088,38.1159
-3.6253,36.1942,128,13.5212,38.1104
-3.6253,36.1942,129,13.4957,38.1315
-3.6253,36.1942,130,13.4909,38.1393
-3.6253,36.1942,131,13.475,38.1554
-3.6253,36.1942,132,13.469,38.16
-3.6253,36.1942,133,13.4601,38.1686
-3.6253,36.1942,134,13.4483,38.1822
-3.6253,36.1942,135,13.4415,38.189
-3.6253,36.1942,136,13.4366,38.1942
-3.6253,36.1942,136.9,13.4404,38.19
-3.6253,36.1942,137.9,13.4299,38.1995
-3.6253,36.1942,138.9,13.432,38.197
-3.6253,36.1942,139.9,13.4198,38.2081
-3.6253,36.1942,140.9,13.4167,38.2105
-3.6253,36.1942,141.9,13.4141,38.2129
-3.6253,36.1942,142.9,13.4141,38.213
-3.6253,36.1942,143.9,13.4086,38.2178
-3.6253,36.1942,144.9,13.4098,38.2167
-3.6253,36.1942,145.9,13.4043,38.2216
-3.6253,36.1942,146.9,13.3948,38.2292
-3.6253,36.1942,147.9,13.3923,38.2307
-3.6253,36.1942,148.8,13.384,38.2381
-3.6253,36.1942,149.8,13.3757,38.2453
-3.6253,36.1942,150.8,13.3737,38.2463
-3.6253,36.1942,151.8,13.3662,38.2521
-3.6253,36.1942,152.8,13.3709,38.2485
-3.6253,36.1942,153.8,13.3617,38.2548
-3.6253,36.1942,154.8,13.3416,38.2689
-3.6253,36.1942,155.8,13.3289,38.2755
-3.6253,36.1942,156.8,13.3225,38.2789
-3.6253,36.1942,157.8,13.3204,38.2804
-3.6253,36.1942,158.8,13.3203,38.2804
-3.6253,36.1942,159.8,13.319,38.2812
-3.6253,36.1942,160.8,13.3177,38.2818
-3.6253,36.1942,161.7,13.3154,38.2834
-3.6253,36.1942,162.7,13.3131,38.2841
-3.6253,36.1942,163.7,13.3074,38.2876
-3.6253,36.1942,164.7,13.3039,38.2909
-3.6253,36.1942,165.7,13.3007,38.294
